Tweets,Domain,Label
 يلعنم القلتش فشلني ههه,Gaming,bullying
 يناسسس غباء مو صاحييي ,Gaming,bullying
 يلعن امين القوة بنص ساعة,Gaming,bullying
" نيرة حلوات كسعر ، بس العتب علجمارك الي رح تخلي سعرو ، الله يلعن الضرائب",Gaming,bullying
 الحل مع عبيد الشتقن,Gaming,bullying
 الزنجي في مشكلة,Gaming,bullying
 الله يلعن اللي علمك تركض ياكلب,Gaming,bullying
 الله يلعن اللي يلعب مع عروب,Gaming,bullying
 الله يلعنك خليني انزل طيب,Gaming,bullying
 الله يلعنك ياطفره,Gaming,bullying
 خلاص وصلت الله يلعنك,Gaming,bullying
 ياجماعة الخير احد يعرف مواعيد اهم واقوى الالعاب اللي راح تصدر خلال الثلاثة الاشهر القادمة بالتاريخ يقولي هيه ,Gaming,Non-bullying
"مره كنت فتاة خجولة جداً ولكن قبل سنوات وجدت فيديو عن الثقة بالنفس ل على اليوتيوب فأصبحت واثقة من نفسي ، أحمد ربي على مشاهدتي لهذا الفيديو فقد غير حياتي لأفضل ، لولاه لما قمت بالكثير من الإنجازات الجميلة ومنها فتح قناة على اليوتيوب ",Gaming,Non-bullying
 للاسف قلبي مايطاوعني مع اني للحين حاقد عالمفتوحة بس لو تفكر فيها تخيل يتهكر جهازك عشان حلاتها ستور ارجنتيني او تركي يبو فراج ,Gaming,Non-bullying
 مطعم البيك احسن من ,Gaming,Non-bullying
 ابغاء ادخل يا كلب ,Gaming,bullying
 اخر فوت في جزء ابو كلب كان امتع من يتفق ؟ ,Gaming,bullying
 اخر واحد كلب,Gaming,bullying
 اخيرا ي ابن الكلب ,Gaming,bullying
 اكيد انه اللعبه انتهت بس حضوره فخم ابن الكلب,Gaming,bullying
 ماعرف يرد قام يبلغ علي الهطف ,Gaming,bullying
" تقرر انها بترفع اسعار النسخ الاساسيه لالعابها ، يعني غير جودتها التعبانه الحلب المستمر لعناوينها يطلعون بالقرار هذا غير ان العابهم فيها مايكروترانزكشين مشتريات داخل اللعبه غير انهم ينزلون اكثر من نسخه لالعابهم وتكون ب اسعار مختلفه ياخي شركه وضيعه ",Gaming,bullying
 هع من قوة و ابداع العابكم ,Gaming,Non-bullying
 سلام عليكم هل تشوفون الموسيقى مهمة فيه عالم العاب انا الحين شخص ينزل عن العاب في اليوتيوب و شايل الموسيقى بس حبيت اشوف اذا تشوفون الموسيقى شيء حلو في العاب ولا ,Gaming,Non-bullying
 ممثل يوبيسوفت يأتي تماما على عمس المتوقع منه أن يكون ويعكس صورة غير الحقيقة مو المفروض انه يكون وصلة بين محبين ألعاب الشرمة والشركة الأم؟ قاعد يهاجم المجتمع بطريقة بشعة ,Gaming,Non-bullying
 توضيح للي مو فاهم السالفه في ناس في بداية الموضوع شدو حيلهم مع المقاطعه والحين خفت حدتهم بعد عرض يوبي سوفت الناس زعلو على حركة الشركة مره وعلى موقف المتخاذلين الف مره من حقك تلعبها انا بالعبها بس مو من حقكك باول المقاطعه تشد حيلك بعدين تبداء تسحب نفسك ,Gaming,Non-bullying
" الشركة تحاول تلطف الجو وصناعتهم للعبة عن الثقافة العربية، ماراح يغير شيء الا في حال اعتذارهم ",Gaming,Non-bullying
" اي مشهور ينشر لالعاب يوبي سوفت كلب فلوس يعني شركة اسائت العرب وتحديداً الخليج وانت تروح تنشر لالعابهم ؟ وغير انهم الغوا بطولة في دولة من دول الخليج بسبب اننا لم ندعم ثقافاتهم القذرة وقالوا اننا همج ومتوحشين ، وبالاخير تروح تنشر العابهم؟ ",Gaming,bullying
 كان مفروض تلعب أساسنز كريد بدالها ولا ما دفعوا لك قرش ,Gaming,Non-bullying
 اتخذت موقف تافه ضد المنطقة لأن أولويتها زي غيرها من الشركات وهي الفلوس اللي ممكن تخسرها من الصورة الإعلامية اللي يتحكم فيها الإعلام الغربي ما يهمني تقاطع أو ما تقاطع هذا شيء راجع لك لكن اللي يزعجني المؤثر أبو وجهين اللي يتصدر الحملات وبعدها لمصالح شخصية ,Gaming,bullying
" لانها ما اهتمت فيه اصلا ف ليه يهتم فيهم و هم مهتمين لجماعة الألوان أكثر منك، بس للاسف احمد سوي فيديو عن لعبتهم، و بدام انت مسوي الفيديو للمتابعين فقط ليه ما جبت سيرت المقاطعة أو حتا سويت توعية للمتابيعن حجينك ببدايت الفيديو حتا و بالاخير يوبيزفت عنصرية ",Gaming,bullying
 كنت متأكد أنه ما يدري عن موضوع يوبي زفت ولاكن الحمدلله صلح غلطة و نشر توعية للناس علي عكس بعض اليوتيوبرز الي تكلموا عن العاب الشركة و كأنه ما صار شي ,Gaming,bullying
 اي شخص يقاطع عمل حاب اقول سوي الي تسويه في الاخير احنا مستفيدين و انت جلس ابكي هشاتقات غبية تتركون الي يسيؤ للأسلام و تروح تشوفو ناس يروجو للشذوذ فتحو عقولكم شوي ولا اسكتو ,Gaming,bullying
 وانا اقول بأي شخص خلال نزول احد العروض قام بالنشر او الترويج لهم بأنه باع دينة و فطرتة لدعم شركة قامة بإهانته وقبل امر اذلال له فا نعم ,Gaming,Non-bullying
 قد تكلمت ياملزلز عن يوبيسوفت؟ اذا لا عندي طلب بسيط حط الهاشتاق ذول واتكلم رجاءً الموضوع لأنه ماينسكت عنه ,Gaming,Non-bullying
 ترا اللي مايشارك مهان من الاخر واللي مايشارك تراك بتلعب العابهم كذا ولاكذا لأنك مهان يامهااااان ماتدافع عن كرامتك ترا منكم يالمجتمع الرْق ماتبون تدافعون دايم تسكتون وماتاخذون حقكم وهذا اللي يخلي اللوطيين يفوزون عليكم بالله تخيل لوطي يسكتني ,Gaming,bullying
 الموضوع مش ولا المقاطعة الموضوع التضليل اللي في كلامه واحد من فترة كان ضد تعريب لعبة ودلوقتي قاعد يبرر لإساءة متعمدة ,Gaming,Non-bullying
 انا ما انغبنت على ذا الخنث انا مغبون على الدلوخ اللي نسو الموضوع وقامو يسوون دعايات للعبة اساسن الجديدة المحلوبة ,Gaming,bullying
 الفرق انه يوبي زفت مااعتذرت ولا تطرقت على الموضوع الى يومك هذا بالرغم من موجة الاستياء الكبرى واللي شارك فيها كبار المؤثرين لماذا ؟؟ لان الهدف من البدايه انه يرضون الجماعة الملونة على حساب منطقة الشرق الاوسط وعشان يلمعون صورتهم والعريضة والالغاء كله مترتب ,Gaming,bullying
" مو شيء جديد من عرفتها وهي شركة عنصرية، رأس ماليه، ضاربه بالحائط تجربة ورضى اللاعبين يدفعون للمراجعين العرب عشان يطبلون كثير شركات تقدم لك لعبة عن تاريخ يوبيسوفت كامل اسهل مقاطعة ممكن تسوونها ",Gaming,bullying
" ردا على ال١٠ سنين، فنعم، لأن غلطة الشاطر بألف، لما واحد بالشارع يغدر فيك غير لما خويك اللي تعرفه ١٠ سنين يغدر فيك ",Gaming,Non-bullying
" ويبقى السؤال الي يطرح نفسه ، ليش طلعتو وتكلمتو اثنينكم في نفس اليوم؟، هل أنتم متفقين ولا حد دافع لكم؟ ",Gaming,Non-bullying
 انبطاح لفل ماكس و نفاق لا مثيل له الأخ ببساطة اعطى مثال منطقي و بما انه يوبي زفت شركة عنصريه و لا تحترم لاعبينها ابدا و لا يبالي بمنطق و مبادي فهذه تصرفات و تلك تصريحات تثبت بلا شك انه يوبي زفت شركة مقرفه لا تستحق حتى ان تقرصن العابها ,Gaming,bullying
 ما قدمت اعتذار مباشر ولكن عوضا عن الاعتذار اخذت أبرز سلسلة عندهم وحطوها بقصه عربيه في منطقه عربيه وبدبلجه عربيه للكل مهما كان المكان احس هذا يكفي عن الاعتذار وزيادة بعد فما احس له داعي مواصلة هالعداوه ,Gaming,Non-bullying
 أثق في حدسي دائماً واعتقد أن لدي فراسة لمعرفة السيء مبكراً اللي صاير جميل واللي عاصر مجتمع اللاعبين العربي من زمان يعرف ان له كلمته من ظهور و وأنا أتجاهل محتواهم عمداً على شهرتها لشيء في داخلي واتضح الآن لي ليه ,Gaming,Non-bullying
 اعزائي العرب و المسلمين كلما اجتمعتم على كلمة واحدة زاد احترام العالم اجمع مبادئنا و معتقداتنا خط احمر و لا عزاء للمرجفين ولا للمتخاذلين حالهم حال كثير من الاعلاميين عندنا يذهبون خلف مصلحتهم قبل اي شيء اخر بل و بعضهم يفرد عضلاته بقدرته على هدم كلمتنا ,Gaming,Non-bullying
 كلهم مفهين بشكل منشن خويك المفهي وقله شكلك منهم ,Gaming,bullying
 كمية غثاثه على مصاله على ملاقه كرهي للعينات ذي حتى رجعت ميوت مقدر اتحمل,Gaming,bullying
 كيلر كلب حلو حيوان انسان وفوق كل دا ملقلق ,Gaming,bullying
 مدري هو احول ولا انا ذكي,Gaming,bullying
 هذا غثننني هو وايمه الاحول,Gaming,bullying
 لا صدقني انا وكثيرين ندري عنه ومقاطعين ,Gaming,Non-bullying
 قبل ما انام حبيت اذكركم المتلون ,Gaming,Non-bullying
 بعض القيمرز ودك تقول لهم يازينك ساكت ,Gaming,Non-bullying
 لو صدق بتكون يوبيسوفت بالفعل تجاوزت الحدود و سبب آخر لمقاطعتها ,Gaming,Non-bullying
" صاحب الشأن على قولك ما راح ينطق حرف لانه لو تكلم راح يمنع من البطولات القادمة مو دايما السكوت علامة الرضا، ثانيا الشركة ما أساءت لصاحب الشأن فقط بل اساءت لجميع العرب سكوت صاحب الشأن ما يعني سكوتنا احنا ",Gaming,Non-bullying
 والله كل واحد يسوقه على الثاني انا اقول العب واستانس بس ,Gaming,Non-bullying
" موضوع صاير مقرف و غبي بشكل مستفز، كل واحد قاعد يستشرف على الثاني، المقاطع يستشرف على الي ما قاطع و الي ما قاطع بالذات اصحاب القنوات يستشرفون و يبررون ليه لازم تبوس رجل يوبيسوفت لانها بس تفضلت عليك يا لاعب يا عربي و عربت لك العابها على اساس انها لسواد عيونا ",Gaming,bullying
 قلتلكم شكلهم فرع دبي اتفقوا مع اكثر من شخص بس هذا وحنا بنص المقاطعه يشتغل معهم ,Gaming,Non-bullying
 اذا بتكلم عن نفسي فأنا الوحيد الي ما يدعم ذي الحملة ماراح اوقف العاب احبها من صغري و للحين احبهم مثل اساسنز و فار كراي و سبلنتر سيل و ريمان و غيرهم من الالعاب انا من عشاق يوبيسوفت وفي الاخير تبغاني اقاطعهم بس عشان سوو غلط مره وحده انا مو مهتم ,Gaming,Non-bullying
" لمسأله شخصية لو كان فيه احد سب الترجمة عشان ام التفاحة سوريه يعني ان له تأثير على قرار الشركة ودخل الشخصنة بالموضوع طبعًا هو طلع تفاحة ملونة فامو مستغربه تصرفاته من المقاطعة منها إلى اتهام قضاء المملكة حفظها الله للتحيز، ففي النهاية وش تتوقع من شخص ملون في شركة ",Gaming,Non-bullying
" اقسم بالله لاعبين اوفرواتش من اكثر الناس تخلف ، وانا على نياتي اقوله ايه بالبداية ما شفت السبراي الله يقلعه هالفار",Gaming,bullying
 الاوله حمار و التانيه حمار عاد تعرفون الباقي,Gaming,bullying
 الحمار الطائش الي ما يتعلم من نفس الغلط ,Gaming,bullying
 محد تكلم وقال بنقاطع الشركة عشان نخسرها فلوس نحن نقاطع لديننا وقيمنا بس انته وغيرك اللي تدافعون عنها وترقعون كلامكم الظاهر بعد اللي قلتوه نحن نبغي اعتذار من الشركة بس انتو كصناع محتوى عرب عطوكم فلوس و اكواد للعبه عشان تدافعون عنها ,Gaming,Non-bullying
 أنا مو مقاطع يوبي زفت إذا نزلت لعبة ممتازة راح اشتريها لكن الان أكثر العاب شركة ,Gaming,bullying
 حبيبي عبدالله كلامك جدا منطقي وعين العقل لكن بسألك سؤال هل ياترى يوبيسوفت تقدر تتصرف نفس التصرف مع روسيا والصين ؟ انا ادعم مقولة وايضا رايان عنصري وكل من يستصغرنا احنا العرب نعم للاسف ممكن ماهنقدر نقاطع وانا اعترف ان المقاطعة عقيمة لكن وهنتقدها ونسفل ,Gaming,bullying
" انا مقاطع يبي سوفت لسببين الاول انها فرنسيه وانا مقاطع فرنسا ، السبب الثاني عنصريتها وتمييزها ضد ديننا مفروض تعرف ان بلاد المسلمين ما تسمح فكيف تعاند على حسابنا لتحسين صورتها إلي شركتهم فيها فضايح تحرش واغتصاب ، وش ترتجي من شركه فرنسيه دولتهم تعدي المسلمين ",Gaming,bullying
 لانه على عكس ريوت شعبيه اكبر اكيد التركيز عليها اكثر لو تغاضينا عن شي مو معناه نمشي كل شي ونضل ساكتين ,Gaming,Non-bullying
 لكم سنة ونص على ذا الهاشتاق قاطعوهم وقاطعوا اي احد يدعمهم وينتهي أمرهم ,Gaming,Non-bullying
 العابهم تتشابه مع بعض مثلا عمورتال فينكس هي عبارة عن أساسنز كريد لكن كرتونية وتقليد رخيص لزيلدا لدرجة أنه الديمو طفشت منها أخاف أضيع وقتي في العاب يوبيسوفت اللي عبارة عن عقيم مع أبراج وصقر أو درونز ماصاروا يبتكرون شيء زين لا ننسى أن ,Gaming,Non-bullying
 ي خي لازممم تغير استراتيجيتها ف الالعاب مو معقولة التكرارات اللي نشوفها ف العابها المطورين يبنون عالم ضخم لكن التفاعل بيئة العالم حرفيا المطورين يبنون جرافيكس جميل لكن القلتشات في كل زاوية تقتل اللعبة ,Gaming,Non-bullying
 هاه عندي العاب ال المستعملة لسبلنتر سيل وباقي اجزائها بالأكس بوكس وبيوند قود اند ايفل وأمير فارس حبيب الطفولة بنوكيا او الجوال ما احتاج الجيم باس عشان العبهم إلا إذا تحب تعذب نفسك في فالهالاا ولا زي اخوي تعذب بأوديسي والعناصر اليوبيسوفتية التطفيشية ,Gaming,Non-bullying
 المواقع مثل سعودي جيمر و ترو جيمنج على مساندتهم للحملة و أشكر كل اللاعبين المشاركين بالحملة و هسة اتفهم اي شخص يريد يعوفه و يمكن انة اترك الحملة مستقبلاً لان حرفياً ماتت حتى تويتر كامت متحط هاشتاغ مع باقي الهاشتاغات لان ما ت و محد يستعملة والله شغلة تلعب النفس ,Gaming,Non-bullying
 نزلت لعبة من الشركة الفْذرة والطعوس فانز الاكسبوكس يشجعون لتنزيلها ,Gaming,bullying
 يخوان لو تم تقديم العاب يوبيسوفت الخايسه كلها على طبق من ذهب لكم من المروءة والولاء رفضها عدا ذلك فهوا خضوع تام لهم ,Gaming,bullying
 الألعاب القادمة من لعبة شوتر من من تعاون و إشاعة والمزيـــــد ,Gaming,Non-bullying
" وفقــــاً لحساب موقعي على تويتر ، حوالي لعبة من متوفرة تــــم تأكيــــــــد قدومها لخدمتي و مما يجعلهم أكبر ناشر مستفيـــــد من خدمات الإشتراك ",Gaming,Non-bullying
 هم مثل عندهم كل مقومات النجاح الكبير ميزانية عناوين أسطورية شراكات احلام لكن عندهم إدارة سيئة و عجيبة و ما نشوف منهم خير الا نادراً مثل و حتى العاب مثل على الرغم اني احبها كثير ما حبوها و الباقي تخريب عناوين بدايتاً ب لو سوني استحوذت عليهم ممكن تنعشهم ,Gaming,Non-bullying
" يوبي سوفت من زمان اكره اللعابهم ، وحتى افكار مافي وغالبيتها عالم مفتوح و هبد ، ومن قبل حتى موضوع أنا أكرههم ",Gaming,bullying
 آخر الزمان يأتي أُناس يتاعدون على المسلمين من أجل متحولين ان الله يمهل ولا يهمل و والله ان اللي قوي إيمانه ما يتأثر بذا الشي لكن مثل الكلاب السفهاء المدعين بأنهم مسلمين يبيعون شرفهم و كرامتهم و دينهم المنزل من الله على رسوله الكريم عشان فلوس والله لن يصلوا ,Gaming,bullying
 ليش تلعب العابهم عزوز مقاطعة لهم بعد عنصريتهم علينا كمل بارك الله فيك بالمقاطعة ,Gaming,Non-bullying
" أتمنى نهاية الشركة عن قريب، استفزتنا ورفعت ضغطتنا ولغت بطولة كاملة عشان ذوليك وبالأخير لا أعتذرت ولا شي تبونا نتمنى استمرارها أو كذا، وكلو كوم وابو تفاحة كوم تاني خالص، ما في حل إلا رئيس جديد يمسكها ويصلح كل شي فيها أو تتسكر وخلاص ونفتك منها ",Gaming,Non-bullying
" حسب من ، تلغي تطوير لعبتي و بالإضافة لعبتين أخرتين غير معلنتين بعد اللهم زد وبارك ",Gaming,Non-bullying
 يعني الآن تقريبا صار شبه اكيد موضوع انه كل شهر لعبة او لعبتين من ,Gaming,Non-bullying
 فيه انواع من مقاطعين ١الي صدق مقاطع٢ الحمار الي مايترك خبر عنهم الا ونشره وبنفس الوقت يقول انا مقاطع الغبي يسوق لهم بدون فلوس ٣الحمير الي في اليوتيوب واخوايهم الي هنا باعوا نفسهم عشان الفلوس احسن من النوع ٢ لان ياخذون مقابل ,Gaming,bullying
 وين المقاطعه ؟ تغيرتوا بسبب الفلوس ؟ الشهره ؟ يا حسافه عرفتوا منو تختارون يا يوبيسوفت الاشخاص اللي يخافون ع دينهم و اهلهم ماقدرتوا عليهم ,Gaming,Non-bullying
 واحدة من أفضل الألعاب التي لعبها و أحبها جداً لكن هذا لا يُنسيني ,Gaming,Non-bullying
" با ليت ريمان يرجع، يعني آخر لعبة كانت من أفضل الألعاب البلاتفورم و يا ليت الاسم يروح لشركة أخرى على يوبيزفت ",Gaming,Non-bullying
 يستاهل الكلب طول القيم يبعصني,Gaming,bullying
 شكرا على اللعبة الرهيبة بشتريها في الستور الامريكي ستوركم فاشل ,Gaming,bullying
 مع نزول الاستور السعودي لاغي الفكره انيا افتحه حساب من ستوركم الفاشل,Gaming,bullying
" أقدّر جداً جهودك في إبداء آرائك الخاصة، لكن لا تحاول تبديها بعد منطقك معيوب جداً وحجتك غريبه، وديزاين التغريدة والله أعلم غرضه إثارة جدل كلام متمطمط صورة تغريدة ثانيه تحتها ويا حبذا تقول سوني دولار لزوم الوطنيه والوازع الديني أحسنت،هاك تفاعل ",Gaming,Non-bullying
 اخ مهند نصيحة لك و لمن دعمك على هذه الخطوة ولمن ذهبوا لدعم هذه الشركة والله الدنيا ما تستاهل انك تذل نفسك عشانهم الرزق بيد الله مو بيدهم و الأرزاق مكتوبة من قبل خلقنا و عيشنا في هذه الحياة فارجوك عد لصوابك و ارفضهم ولا تعمل معهم ,Gaming,Non-bullying
 راح نقعد الى ٢٠٣٠ ويوبي زفت ماعتذرو فا الافضل نقاطع العابهم هم واكتفجن و الالعاب الفرنسيه كلها والحمله اشوف انها مضيعه للوقت للآسف ,Gaming,Non-bullying
 الناس مستغربة أن رفعت تسعيرة لـ بما أن البلاي بدأت هذه الموضة كل الناشرين في العالم سينضمون للحفلة ويضعون ألعابهم للـ بهذا السعر,Gaming,Non-bullying
 وانته بخير يابو ريفيوز وان شاء الله تعقل وتوقف مصخره وبدال متهاجم العم سبنسر تحول ع ربعك في وتهاجمهم وكل من يعزز لهم بس هذا حلم صعب المنال ,Gaming,bullying
 ياخي بالله اممكن احد يشرح موضوع بدون الغاز وتلميحات كفاية ميازاكي ضيع عمرنا وما فهمناه ,Gaming,Non-bullying
" عندي غضب عليها بكبرها، والله العابها الاخيرة جداً سيئة وحلبو كل شيء سووه ",Gaming,Non-bullying
" مثل ما ذكرت لك في السابق هناك حملات تحركها الأهداف المشتركة وبديهيًا من نتائجها تكون المقاطعة، بالنسبة لموضوع أعتقد أن وقت الاعتذار فات كثير، وهو سيناقض بيانهم، لذلك أنا لا أنتظر اعتذار وفق ما آلت إليه الظروف، انتظر إقامة بطولة في الخليج وهذا سيكون اعتذار مبطن ",Gaming,Non-bullying
 ما يعايد عليك الا الشخص الا ما عنده كرامة ومذلول ولا عنده مبدءا وكم شخص الي رجعو يعلنون لكم قيمر سناك وباقي العاهات كرامتهم والارض واحد ما عليهم شرها ,Gaming,bullying
" أنا قرأت تغريدتك الأصلية و شفتك أغلقت التعليقات، فاستنتجتك أنك مش مهتم بالنقاش فتجاهلت الموضوع لكن بما إنك منفتح للنقاش، و بما إني المقصود و لو بشكل غير مباشر بالكلام كليا أو جزئيا، فحبيت أعلق لما بديت هاشتاق ما أرغمت أحد هالمشاركة ولا جبت سيرة مقاطعة يتبع ",Gaming,Non-bullying
 للاسف القصه الشي الوحيد الي يشفع لها الباقي كان احباط خصوصا طريقة اللعب الي لعبته اونلاين واوفلاين ولكن للاسف شي محبط تحسيه من العاب الي فقط ودي وجيب وروح جيب و ودي ,Gaming,Non-bullying
" أخ عمر أنت تخلط الكثير من الأمور، ويبدو أنك منزعج جدًا لما حصل مع الأخ ولا ألومك فهذه وجهة نظرك في الأخير، وأنا لا أؤيد أبدًا ما قام به وهذا حقي في إبداء الآراء، وسبق اقتبست تغريدة وعبّرت عن رأيي الشخصي بكل تجرد ",Gaming,Non-bullying
 والله انك ذيب يا فهد اغلب الشباب اللي جاملوه لو اكتفوا بالسكوت كان ابرك لهم لكنك انت غردت كلنا نتمنى الخير لمهند لكن ليس من باب يشوفله شركات ثانية تحتضنه غير هذي ,Gaming,Non-bullying
 اولا عيد اضحى مبارك السعيد عليكم وعلينا وكل عام وانتم بخير ثانيا ,Gaming,Non-bullying
 جهاز فاشل واكبر دليل لعبة اجل أقوى كونسول محد مهتم,Gaming,bullying
 اوووف صدت جونا بالتصميم هههههههههههه لو تقرون سورة البقرة يوميا لن ننسى اعتذروا اعتذروا افضل ,Gaming,Non-bullying
" هناك للأسف مجموعة من المؤثرين بلا كرامة، استغلوا الحملة وعبّروا عن رفضهم التام لـ وفي ذات الوقت يتعاونون معهم بأي نشاط داعم لهم مشكلتنا معهم ليست في العمل معهم بل في مخالفة موقفهم، من المفترض منهم من الأساس عدم الدخول للحملة ",Gaming,Non-bullying
 عندما يكون النذل حمار ,Gaming,bullying
" ياعزيزي مافيه إساءة، ولا عنصرية موضوع كان قضيتي قبل أن يأخذ اتجاه لا يتسق مع مبادئي لماذا لا أتحلى بالشجاعة؟ فضلاً ناقشني بهدوء بعيداً عن شخصنة الموضوع، أنا طرحت أسبابي بكل وضوح وشفافية دون الإساءة لأحد ",Gaming,Non-bullying
 أشكرك قلت اللي بخاطري بالنسبه لي عرفت وضعهم من يوم عملوا مقاطعه للجزء الثاني من لعبة ذا لاست اوف اس ولقيت معظم اللي شنوا الحمله هم اول من ختم اللعبه ولما بدأت حملة كنت متأكد انهم راح يعملوا نفس الحركه انا ضد اللي عملته يوبي وكمان انا ضد اللي يستشرف علينا ,Gaming,Non-bullying
" وكذلك على علم بأنه ربما حملة لن تستمر لفترة طويلة لضعف ثقافة المقاطعة عندنا، وبسبب بعض الدخلاء فيها، ولكن سيسجل التاريخ المواقف وكيف انتهى المطاف بهذا الحملة وكشف مواقفكم المتناقضة لقمة العيش صعبة فعلًا ولكن تَعِسَ عبد الدينار والدرهم ",Gaming,Non-bullying
" المشكلة كانت وللأسف ممن دعم حملة وفي الوقت ذاته يدعم هذه الشركة إما بتعريب شعارات أو مقاطع تجارية وإعلانية، هذه الحملة فقط لأصحاب المبادئ والشرفاء، الذين لايقبلون يومًا أن تهان أنفسهم الحقيقة ومنذ اليوم الأول وأنا أعلم هناك من يبيعون الكلام وقلوبهم معلقة بهم ",Gaming,Non-bullying
" حملة لم تكن يومًا حملة هجومية ضد أي شخص، ولكنها حملة ضد من يحاول أن يركب الموجة، وللأسف الكثير من ركب الموجة، أي جهة لم تكن داعمة من اليوم الأول للحملة ومستمرة في تغطية أخبار شركة الملونين ليس من حقنا الحديث عنهم بما أنهم لم يصرحوا بدعمهم ",Gaming,Non-bullying
" هذه التغريدة تستفزني على الإساءة اللفظية ولكن لن أنجرف لهذا المنزلق، فعلًا ما قرأت أوقح مما كُتب، ولا ألومك هذه ليست قضيتك، لأننا لسنا عنصريين مثلك، وحملة ليست عرقية حتى تقول وبكل عنصرية نتنة هي فرصة للبصق في أعينهم الزرقاء ولكن جميل أنك لا تتحلى بالشجاعة ",Gaming,bullying
 الاعلاميين بعضهم مو مهتم و يعرف انه مامن نفسه و للاسف طالم مو متابعينه يضغطوا عليه ما يفرق معه كم حساب في التويتر حتي بعضهم سكت في التويتر و شغل في انستقرام يدعم يوبي اما مهند جته فرصة و استغلها بس مانحن موقفين ,Gaming,Non-bullying
" كثير من الحسابات الإخبارية الود ودهم لو ما كانت هناك حملة حتى يأخذون راحتهم في نقل أخبار ومراجعة ألعابهم، والحصول على أكواد مجانية، ولكن يخافون من ردة فعل الجمهور، ولو كشف الله ما في صدورهم لصدمنا من حجم الوضاعة التي يعيشونها من أجل ",Gaming,Non-bullying
 بالنسبة ل وصناع اليوتيوبر اللي عندنا فيه حل مناسب جدًّا لما ينزلوا مقاطع عن لعبتهم القادمة اقرصوهم بعدم المشاهدة والدس لايك لاتتفاعلو معهم خلوهم يعقلون شوي ترى مطلبنا بسيط اعتذار رسمي من التهم العنصرية اللي وجهوها وارجاع البطولة بالامارات ,Gaming,Non-bullying
 نفس قضية فلسطين ترا الكل متحدين ومعاً ضد الكفار والافكار ذي فجة واحد يبعها والكل يقول رزقة رزقة انتو مهبل ؟ الرزق من الله و لازم نوقف حتى ضد مهند دامه بيجي معهم ,Gaming,bullying
 صاملين ياقذرين ,Gaming,bullying
